RAMP ID,Title,Status,Category,Type,Open Date,Close Date,Department,URL
225529,"144777 MISCELLANEOUS, HARDWARE",Amended,Commodity,IFB - Invitation for Bid,10/24/2025 05:03:02 PM,10/29/2025 09:00:00 PM,Water & Power,https://www.rampla.org/s/opportunity-details?id=006Ql00000TOOwXIAX
226108,LACDA25-119 - Supportive Housing Services - Closing: 10/27/2025 3:00 PM,Open,Personal Services,None,10/24/2025 04:30:03 PM,10/27/2025 10:00:00 PM,Los Angeles County,https://www.rampla.org/s/opportunity-details?id=006Ql00000UO6J8IAL
226107,"144923 CONNECTORS, BRONZE",Open,Commodity,IFB - Invitation for Bid,10/24/2025 04:10:41 PM,10/31/2025 09:00:00 PM,Water & Power,https://www.rampla.org/s/opportunity-details?id=006Ql00000UO7BxIAL
226015,144375 FHPP - Cooling Water Outdoor Centrifugal Separator,Amended,Commodity,IFB - Invitation for Bid,10/24/2025 04:04:21 PM,10/29/2025 09:00:00 PM,Water & Power,https://www.rampla.org/s/opportunity-details?id=006Ql00000UJCPBIA5
225676,90867 OA for LASAN Coordination and AWPF Development,Amended,Personal Services,RFP - Request For Proposal,10/24/2025 03:37:18 PM,12/03/2025 10:00:00 PM,Water & Power,https://www.rampla.org/s/opportunity-details?id=006Ql00000TkfYvIAJ
226104,LACDA25-119 - Supportive Housing Services - Closing: 10/27/2025 3:00 PM,Open,Personal Services,None,10/24/2025 03:30:01 PM,10/27/2025 10:00:00 PM,Los Angeles County,https://www.rampla.org/s/opportunity-details?id=006Ql00000UNyF7IAL
226103,LACDA25-119 - Supportive Housing Services - Closing: 10/27/2025 3:00 PM,Open,Personal Services,None,10/24/2025 02:30:04 PM,10/27/2025 10:00:00 PM,Los Angeles County,https://www.rampla.org/s/opportunity-details?id=006Ql00000UNlrNIAT
226102,"PAINT & TOOLS, AUTOMOTIVE REFINISH PRODUCTS",Open,Commodity,RFB - Request For Bid,10/24/2025 02:19:31 PM,11/05/2025 07:00:00 PM,General Services,https://www.rampla.org/s/opportunity-details?id=006Ql00000UNjpbIAD
226101,LACDA25-119 - Supportive Housing Services - Closing: 10/27/2025 3:00 PM,Open,Personal Services,None,10/24/2025 01:30:01 PM,10/27/2025 10:00:00 PM,Los Angeles County,https://www.rampla.org/s/opportunity-details?id=006Ql00000UNZztIAH
226096,LACDA25-119 - Supportive Housing Services - Closing: 10/27/2025 3:00 PM,Open,Personal Services,None,10/24/2025 12:30:01 PM,10/27/2025 10:00:00 PM,Los Angeles County,https://www.rampla.org/s/opportunity-details?id=006Ql00000UNMzTIAX
